element,subelement,rarnum,season_id,name,s,f,state,conc,mapping_qu,g_source,s_source,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,nesting,migrating,molting,hatching,spawning,eggs,larvae,juveniles,adults,mating,calving,pupping,internesti
BIRD,shorebird,114,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,114,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,114,0,Wilson's plover,T,,GA,10S,VULNERABLE OCCURRENCE,418,413,X,X,X,X,X,X,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,115,0,American oystercatcher,,,,6 ADULTS,NESTING,409,412,,,X,X,X,X,X,X,X,,,,MAR-AUG,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,115,0,Wilson's plover,,,,46 ADULTS,NESTING,409,412,,,X,X,X,X,X,,,,,,MAR-JUL,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,116,0,American oystercatcher,,,,6 ADULTS,NESTING,409,412,,,X,X,X,X,X,X,X,,,,MAR-AUG,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,116,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,116,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,116,0,Shorebirds,,,,HIGH,WINTERING,412,412,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Red knot,,T,GA,,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Red knot,,T,GA,,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Ruddy turnstone,,,,,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Ruddy turnstone,,,,,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Sanderling,,,,,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Sanderling,,,,,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,142,0,Shorebirds,,,,HIGH,WINTERING,412,412,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,179,0,Shorebirds,,,,"1,000S",WINTERING,418,412,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,179,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,179,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,180,0,American oystercatcher,,,,10S,WINTERING,418,412,X,X,,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,180,0,Dunlin,,,,"10,000S",WINTERING,418,412,X,X,X,X,X,X,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,180,0,Red knot,,T,GA,100S,WINTERING,418,412,X,X,X,,,,,,,,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,180,0,Shorebirds,,,,"1,000S",WINTERING,418,412,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,180,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,180,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,American oystercatcher,,,,,WINTERING,418,412,X,X,,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,American oystercatcher,,,,4 ADULTS,NESTING,409,412,,,X,X,X,X,X,X,X,,,,MAR-AUG,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Dunlin,,,,"1,000S",WINTERING,418,412,X,X,X,X,X,X,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Piping plover,,,,,WINTERING,418,412,X,X,X,,,,X,X,X,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Red knot,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Red knot,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,,,,X,X,X,X,,,-,JUL-OCT,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Shorebirds,,,,HIGH,MIGRATION,412,412,,,,X,X,X,,,,,,,-,APR-JUN,-,-,-,-,-,-,-,-,-,-,-
BIRD,shorebird,281,0,Shorebirds,,,,HIGH,WINTERING,412,412,X,X,X,,,,,,,X,X,X,-,-,-,-,-,-,-,-,-,-,-,-,-
